trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 0.95}",25,0,-210.04523546362137,"{0: 11, 1: 1, 2: 10, 3: 0, 4: 3}",0
2,False,"{'a': 0.5, 'e': 0.8999999999999999}",20,8,-25.541377357125217,"{0: 8, 1: 0, 2: 4, 3: 0, 4: 0}",1
3,False,"{'a': 0.5, 'e': 0.8499999999999999}",25,0,-69.66720329400675,"{0: 16, 1: 1, 2: 7, 3: 1, 4: 0}",0
4,False,"{'a': 0.5, 'e': 0.7999999999999998}",20,0,-109.38947928818556,"{0: 11, 1: 0, 2: 8, 3: 0, 4: 1}",0
5,False,"{'a': 0.5, 'e': 0.7499999999999998}",20,0,-45.96575313922549,"{0: 16, 1: 1, 2: 2, 3: 0, 4: 1}",0
6,False,"{'a': 0.5, 'e': 0.6999999999999997}",25,0,-81.0452779159785,"{0: 17, 1: 4, 2: 2, 3: 1, 4: 1}",0
7,False,"{'a': 0.5, 'e': 0.6499999999999997}",30,9,-179.65917080443228,"{0: 11, 1: 0, 2: 7, 3: 0, 4: 3}",1
8,False,"{'a': 0.5, 'e': 0.5999999999999996}",25,0,-92.24316501412831,"{0: 17, 1: 0, 2: 7, 3: 0, 4: 1}",0
9,False,"{'a': 0.5, 'e': 0.5499999999999996}",25,0,-126.9497866643742,"{0: 19, 1: 0, 2: 3, 3: 0, 4: 3}",0
10,False,"{'a': 0.5, 'e': 0.4999999999999996}",20,4,-22.819193646628705,"{0: 13, 1: 1, 2: 1, 3: 1, 4: 0}",1
11,False,"{'a': 0.5, 'e': 0.4499999999999996}",25,0,-194.54105674065696,"{0: 16, 1: 0, 2: 5, 3: 0, 4: 4}",0
12,False,"{'a': 0.5, 'e': 0.39999999999999963}",20,0,-10.45498264908164,"{0: 16, 1: 2, 2: 2, 3: 0, 4: 0}",0
13,False,"{'a': 0.5, 'e': 0.34999999999999964}",20,0,-110.53701590702788,"{0: 14, 1: 1, 2: 2, 3: 1, 4: 2}",0
14,False,"{'a': 0.5, 'e': 0.29999999999999966}",30,1,-23.054036664784796,"{0: 23, 1: 1, 2: 5, 3: 0, 4: 0}",1
15,False,"{'a': 0.5, 'e': 0.24999999999999967}",20,0,-27.56429085653651,"{0: 16, 1: 0, 2: 3, 3: 1, 4: 0}",0
16,False,"{'a': 0.5, 'e': 0.19999999999999968}",25,0,6.159437528006393,"{0: 23, 1: 1, 2: 0, 3: 1, 4: 0}",0
17,False,"{'a': 0.5, 'e': 0.1499999999999997}",20,3,-61.49936786230244,"{0: 13, 1: 0, 2: 2, 3: 1, 4: 1}",1
18,False,"{'a': 0.5, 'e': 0.09999999999999969}",25,20,10.982274911270204,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
19,False,"{'a': 0.5, 'e': 0.049999999999999684}",25,0,-128.7540052538875,"{0: 19, 1: 0, 2: 3, 3: 0, 4: 3}",0
20,False,"{'a': 0.5, 'e': -3.191891195797325e-16}",25,0,13.917936636766111,"{0: 24, 1: 0, 2: 1, 3: 0, 4: 0}",0
1,True,"{'a': 0, 'e': 0}",20,0,18.75421271252818,"{0: 19, 1: 0, 2: 1, 3: 0, 4: 0}",0
2,True,"{'a': 0, 'e': 0}",25,9,-7.816663690270252,"{0: 14, 1: 0, 2: 1, 3: 1, 4: 0}",1
3,True,"{'a': 0, 'e': 0}",20,6,10.015071431246545,"{0: 13, 1: 0, 2: 1, 3: 0, 4: 0}",1
4,True,"{'a': 0, 'e': 0}",20,0,-76.81591093351692,"{0: 16, 1: 0, 2: 2, 3: 0, 4: 2}",0
5,True,"{'a': 0, 'e': 0}",20,9,3.5886557092675684,"{0: 10, 1: 0, 2: 1, 3: 0, 4: 0}",1
6,True,"{'a': 0, 'e': 0}",20,16,5.011737102839625,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
7,True,"{'a': 0, 'e': 0}",30,11,-28.997458732714847,"{0: 17, 1: 0, 2: 0, 3: 1, 4: 1}",1
8,True,"{'a': 0, 'e': 0}",20,0,-17.130527356390825,"{0: 19, 1: 0, 2: 0, 3: 0, 4: 1}",0
9,True,"{'a': 0, 'e': 0}",30,0,-24.37019173681397,"{0: 26, 1: 0, 2: 3, 3: 0, 4: 1}",0
10,True,"{'a': 0, 'e': 0}",20,5,21.558473018198157,"{0: 15, 1: 0, 2: 0, 3: 0, 4: 0}",1
