trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",25,0,-85.5056570971673,"{0: 16, 1: 4, 2: 4, 3: 0, 4: 1}",0
2,False,"{'a': 0.5, 'e': 0.7071067811865475}",20,1,-143.19141355430452,"{0: 9, 1: 3, 2: 4, 3: 1, 4: 2}",1
3,False,"{'a': 0.5, 'e': 0.5773502691896258}",20,0,-190.81004273409943,"{0: 12, 1: 0, 2: 4, 3: 0, 4: 4}",0
4,False,"{'a': 0.5, 'e': 0.5}",25,0,-79.33601612358746,"{0: 18, 1: 0, 2: 6, 3: 0, 4: 1}",0
5,False,"{'a': 0.5, 'e': 0.4472135954999579}",20,0,-56.160601801453105,"{0: 14, 1: 0, 2: 5, 3: 1, 4: 0}",0
6,False,"{'a': 0.5, 'e': 0.4082482904638631}",25,0,-61.11914649526693,"{0: 20, 1: 2, 2: 1, 3: 1, 4: 1}",0
7,False,"{'a': 0.5, 'e': 0.3779644730092272}",30,16,-8.749122078669183,"{0: 11, 1: 1, 2: 2, 3: 0, 4: 0}",1
8,False,"{'a': 0.5, 'e': 0.35355339059327373}",20,0,-180.43656029336958,"{0: 10, 1: 1, 2: 5, 3: 1, 4: 3}",0
9,False,"{'a': 0.5, 'e': 0.3333333333333333}",25,0,-97.63968425139426,"{0: 18, 1: 2, 2: 3, 3: 0, 4: 2}",0
10,False,"{'a': 0.5, 'e': 0.31622776601683794}",25,0,-97.71863666448183,"{0: 19, 1: 0, 2: 4, 3: 0, 4: 2}",0
11,False,"{'a': 0.5, 'e': 0.30151134457776363}",20,0,15.0972217440892,"{0: 19, 1: 1, 2: 0, 3: 0, 4: 0}",0
12,False,"{'a': 0.5, 'e': 0.2886751345948129}",25,0,-193.75533776912638,"{0: 18, 1: 0, 2: 1, 3: 2, 4: 4}",0
13,False,"{'a': 0.5, 'e': 0.2773500981126146}",20,0,-92.23411224467274,"{0: 15, 1: 1, 2: 1, 3: 1, 4: 2}",0
14,False,"{'a': 0.5, 'e': 0.2672612419124244}",35,0,-57.050357235352514,"{0: 29, 1: 0, 2: 5, 3: 0, 4: 1}",0
15,False,"{'a': 0.5, 'e': 0.2581988897471611}",20,0,-45.180200074354765,"{0: 16, 1: 2, 2: 1, 3: 0, 4: 1}",0
16,False,"{'a': 0.5, 'e': 0.25}",30,0,-180.96610487770326,"{0: 21, 1: 1, 2: 4, 3: 0, 4: 4}",0
17,False,"{'a': 0.5, 'e': 0.24253562503633297}",25,0,-125.10440641406824,"{0: 18, 1: 1, 2: 2, 3: 2, 4: 2}",0
18,False,"{'a': 0.5, 'e': 0.23570226039551587}",25,0,-7.460638435491158,"{0: 20, 1: 2, 2: 3, 3: 0, 4: 0}",0
19,False,"{'a': 0.5, 'e': 0.22941573387056174}",25,0,-86.73657079596241,"{0: 16, 1: 3, 2: 5, 3: 0, 4: 1}",0
20,False,"{'a': 0.5, 'e': 0.22360679774997896}",25,18,-0.4944749845983112,"{0: 6, 1: 0, 2: 1, 3: 0, 4: 0}",1
21,False,"{'a': 0.5, 'e': 0.2182178902359924}",35,0,-58.13248018959738,"{0: 31, 1: 1, 2: 1, 3: 0, 4: 2}",0
22,False,"{'a': 0.5, 'e': 0.21320071635561041}",20,0,-66.40438054934121,"{0: 16, 1: 1, 2: 0, 3: 2, 4: 1}",0
23,False,"{'a': 0.5, 'e': 0.20851441405707477}",30,18,-5.657727785394967,"{0: 10, 1: 0, 2: 2, 3: 0, 4: 0}",1
24,False,"{'a': 0.5, 'e': 0.20412414523193154}",25,0,-56.915106421526765,"{0: 23, 1: 0, 2: 0, 3: 0, 4: 2}",0
25,False,"{'a': 0.5, 'e': 0.2}",20,0,-31.052407921276764,"{0: 15, 1: 0, 2: 5, 3: 0, 4: 0}",0
