trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
1,False,"{'a': 0.5, 'e': 1.0}",35,0,-185.7916478056337,"{0: 24, 1: 1, 2: 5, 3: 2, 4: 3}",0
2,False,"{'a': 0.5, 'e': 1.0}",25,0,-257.60491950640164,"{0: 12, 1: 3, 2: 5, 3: 0, 4: 5}",0
3,False,"{'a': 0.5, 'e': 1.0}",20,0,-138.28773774169605,"{0: 10, 1: 3, 2: 5, 3: 0, 4: 2}",0
4,False,"{'a': 0.5, 'e': 1.0}",20,0,-187.0095018899834,"{0: 8, 1: 3, 2: 6, 3: 0, 4: 3}",0
5,False,"{'a': 0.5, 'e': 1.0}",20,12,-62.11341930983552,"{0: 5, 1: 0, 2: 1, 3: 1, 4: 1}",1
6,False,"{'a': 0.5, 'e': 1.0}",25,0,-98.4549141948211,"{0: 18, 1: 0, 2: 4, 3: 2, 4: 1}",0
7,False,"{'a': 0.5, 'e': 1.0}",25,0,-128.19630211020694,"{0: 15, 1: 0, 2: 8, 3: 1, 4: 1}",0
8,False,"{'a': 0.5, 'e': 1.0}",25,0,-162.91976125745666,"{0: 13, 1: 4, 2: 4, 3: 2, 4: 2}",0
9,False,"{'a': 0.5, 'e': 1.0}",20,0,-61.866730102382775,"{0: 11, 1: 3, 2: 6, 3: 0, 4: 0}",0
10,False,"{'a': 0.5, 'e': 1.0}",30,0,-165.641688441382,"{0: 19, 1: 3, 2: 4, 3: 1, 4: 3}",0
11,False,"{'a': 0.5, 'e': 1.0}",20,0,-69.03965378371214,"{0: 12, 1: 2, 2: 5, 3: 1, 4: 0}",0
12,False,"{'a': 0.5, 'e': 1.0}",20,0,-97.26214934054184,"{0: 14, 1: 1, 2: 3, 3: 0, 4: 2}",0
13,False,"{'a': 0.5, 'e': 1.0}",25,0,-104.7181440480089,"{0: 15, 1: 2, 2: 7, 3: 0, 4: 1}",0
14,False,"{'a': 0.5, 'e': 1.0}",25,0,-174.34856708490085,"{0: 17, 1: 1, 2: 3, 3: 0, 4: 4}",0
15,False,"{'a': 0.5, 'e': 1.0}",30,0,-151.1901532610389,"{0: 21, 1: 2, 2: 4, 3: 0, 4: 3}",0
16,False,"{'a': 0.5, 'e': 1.0}",20,0,-73.12797037832402,"{0: 15, 1: 0, 2: 3, 3: 1, 4: 1}",0
17,False,"{'a': 0.5, 'e': 1.0}",30,0,-97.28633626412058,"{0: 20, 1: 5, 2: 3, 3: 1, 4: 1}",0
18,False,"{'a': 0.5, 'e': 1.0}",20,0,-146.11845282083488,"{0: 10, 1: 1, 2: 7, 3: 0, 4: 2}",0
19,False,"{'a': 0.5, 'e': 1.0}",25,0,-94.75473712660211,"{0: 15, 1: 4, 2: 5, 3: 0, 4: 1}",0
20,False,"{'a': 0.5, 'e': 1.0}",35,0,-248.4043520611622,"{0: 20, 1: 2, 2: 8, 3: 1, 4: 4}",0
1,True,"{'a': 0.5, 'e': 1.0}",20,0,-124.34336725656865,"{0: 12, 1: 0, 2: 6, 3: 0, 4: 2}",0
2,True,"{'a': 0.5, 'e': 1.0}",30,0,-258.12446845188373,"{0: 15, 1: 2, 2: 8, 3: 1, 4: 4}",0
3,True,"{'a': 0.5, 'e': 1.0}",25,0,-176.7324371083606,"{0: 15, 1: 2, 2: 4, 3: 1, 4: 3}",0
4,True,"{'a': 0.5, 'e': 1.0}",25,0,-17.010311556959,"{0: 22, 1: 1, 2: 1, 3: 1, 4: 0}",0
5,True,"{'a': 0.5, 'e': 1.0}",25,0,-79.34007123371676,"{0: 15, 1: 3, 2: 6, 3: 1, 4: 0}",0
6,True,"{'a': 0.5, 'e': 1.0}",20,0,-109.39908153628828,"{0: 11, 1: 3, 2: 3, 3: 2, 4: 1}",0
7,True,"{'a': 0.5, 'e': 1.0}",20,0,-67.6327273240515,"{0: 10, 1: 4, 2: 6, 3: 0, 4: 0}",0
8,True,"{'a': 0.5, 'e': 1.0}",20,1,-64.04231380890549,"{0: 11, 1: 0, 2: 8, 3: 0, 4: 0}",1
9,True,"{'a': 0.5, 'e': 1.0}",20,0,-99.86221990376187,"{0: 12, 1: 2, 2: 4, 3: 1, 4: 1}",0
10,True,"{'a': 0.5, 'e': 1.0}",25,0,-107.69974543883114,"{0: 14, 1: 2, 2: 8, 3: 0, 4: 1}",0
